sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2
1Oizk80H68Dr7PFDdye1eS,0.586,0.32799999999999996,0,-13.399000000000001,1,0.0302,0.8170000000000001,2.32e-06,0.121,0.451,85.09,162133,6/18/2004,40,0.0,0.9985941052436829,0.0
2Y8Nsu4LmUrcRyMXhnSi3g,0.37,0.909,6,-8.805,1,0.0414,5.7600000000000004e-05,2.6600000000000003e-05,0.0608,0.551,78.074,281507,4/28/1992,23,0.0,0.998100757598877,0.0
4IoYz8XqqdowINzfRrFnhi,0.33799999999999997,0.8029999999999999,8,-5.412000000000001,0,0.0413,0.0187,0.0,0.136,0.4,151.994,241853,2/2/2009,74,0.0,0.9987558126449585,0.0
0B8drtTSp68pZdkmVrG9ZA,0.633,0.764,0,-7.212000000000001,1,0.32299999999999995,0.32,3.4e-06,0.23399999999999999,0.522,94.971,228173,4/28/1998,65,0.038590431213378906,0.9613287448883057,0.0
6KtLECDztnah63TNmV4Plw,0.24600000000000002,0.768,9,-7.48,1,0.0387,0.0006309999999999999,0.301,0.102,0.35,169.873,212733,10/23/2001,68,0.0,0.9973707795143127,0.0
2ntzIAkkRdIVTRLiyUFHLt,0.499,0.966,11,-5.403,0,0.0551,0.000294,2.94e-06,0.9640000000000001,0.51,96.956,244493,2013,33,0.0,0.0,0.9942842721939087
2DSMaeDZvaz1a832KOhphT,0.27399999999999997,0.27899999999999997,11,-11.969000000000001,1,0.0325,0.9009999999999999,0.006999999999999999,0.0987,0.179,175.477,207293,1/1/2004,10,0.0,0.9972014427185059,0.0
1K1TFdBh7NrDyKiwiJEmsy,0.386,0.9159999999999999,2,-5.955,1,0.0741,0.105,0.009909999999999999,0.325,0.775,135.642,238107,1981,59,0.11051424592733383,0.8892837762832642,0.0
34fWcazka5WAgvsPg1ZKXU,0.784,0.32,9,-17.4,0,0.0435,0.41,0.0007030000000000001,0.0368,0.8759999999999999,122.279,222493,10/29/1982,40,0.0,0.998154878616333,0.0
7oyWv82I9J915DAspliyq7,0.604,0.757,2,-6.367000000000001,1,0.035,0.0948,8.45e-05,0.0723,0.649,135.57399999999998,145867,1/1/1965,36,0.5664570927619934,0.4332391023635864,0.0
3cYWTUSWahK2XzIwEQcn0D,0.725,0.56,11,-14.677,1,0.188,0.7090000000000001,0.00218,0.36200000000000004,0.708,100.044,184000,4/1/1991,13,0.0,0.9990190863609314,0.0
4CkLWXUasaJRV8k25nFDcw,0.6679999999999999,0.423,5,-14.415,0,0.0413,0.00307,0.153,0.22,0.862,151.763,200933,12/18/2015,34,0.8033607602119446,0.1962173581123352,0.0
3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797000000000001,1,0.0439,0.0275,0.0,0.11800000000000001,0.47200000000000003,180.114,228347,1/1/2009,79,0.0,0.9992147088050842,0.0
6pPCOXIQeNMr1oCWJTomSf,0.67,0.903,10,-5.796,0,0.0402,0.0129,0.0,0.331,0.953,136.19299999999998,357147,4/29/1985,56,0.41993290185928345,0.5799044370651245,0.0
0pUZ1ZBcjPP92b2yVISxek,0.596,0.494,11,-14.360999999999999,1,0.0901,0.474,0.0,0.863,0.429,128.424,231827,1/1/1977,25,0.19473102688789368,0.8048015832901001,0.0
4xNfsvj9mOVnMTvHZZ8HNk,0.415,0.816,3,-3.8310000000000004,1,0.0333,0.0299,2.09e-05,0.129,0.264,136.017,232267,1/1/2008,57,0.5455236434936523,0.4542867839336395,0.0
5GAeZzDPkWutKmW26cnwfP,0.56,0.568,6,-9.111,1,0.028999999999999998,0.24600000000000002,0.00022,0.139,0.374,166.56799999999998,250267,2/10/1998,50,0.04075231775641441,0.0,0.9538512825965881
7o2Razxnl33Jrgz4PpMYNa,0.456,0.7040000000000001,7,-6.687,1,0.0982,0.0052,4.12e-06,0.0595,0.6559999999999999,140.629,277267,11/2/1999,44,0.0,0.999255359172821,0.0
0kYUrLVQOfx21xuXu7OGrT,0.557,0.728,6,-6.181,1,0.0405,0.00156,5.13e-06,0.11800000000000001,0.21600000000000003,118.241,301573,6/15/2004,65,0.4695891737937927,0.5302351117134094,0.0
1cqlBqJC2FL38DYTXgvQIW,0.565,0.547,11,-9.129,1,0.0385,0.41600000000000004,0.0,0.102,0.39899999999999997,91.95,244933,4/27/2007,64,0.0,0.0,0.989119827747345
5U94XmthE50DWQA1tH5sdH,0.84,0.392,4,-16.309,1,0.124,0.28,0.0628,0.129,0.9,99.15799999999999,266000,1/1/1994,17,0.625904381275177,0.3737737834453583,0.0
2pkPeaj86ZEVHhgAEncfp0,0.5529999999999999,0.32799999999999996,9,-10.797,1,0.0341,0.643,0.0,0.109,0.345,103.47200000000001,270960,1977,51,0.20270924270153046,0.7970978021621704,0.0
13QU8HBEBaSTZGq1HzQe9S,0.584,0.306,9,-8.401,0,0.0271,0.52,0.0,0.12,0.096,70.02199999999999,216004,3/13/2020,73,0.10537008941173553,0.8943729996681213,0.0
7vOjTY220BqIttYDbwshED,0.5,0.889,11,-4.541,1,0.0676,0.0014,0.0,0.0781,0.428,132.713,175920,1/1/2007,45,0.34551188349723816,0.6543000936508179,0.0
7BkAlVpGwXXl3sYNn5OoJ7,0.556,0.5920000000000001,5,-7.377999999999999,1,0.0338,0.45799999999999996,0.0,0.0637,0.5870000000000001,94.889,274067,6/20/1966,49,0.0,0.998547375202179,0.0
5lQxMlCMTzCj3j4vyzdl8T,0.512,0.379,11,-12.251,0,0.0299,0.418,1.09e-05,0.0967,0.522,144.687,188293,1973,49,0.5296785831451416,0.47006136178970337,0.0
6aXKbU2QGsOms8UT3eUOg1,0.385,0.306,3,-12.167,1,0.0297,0.452,7.43e-06,0.128,0.546,173.377,173813,5/14/1965,59,0.2512003481388092,0.7484219074249268,0.0
0uDWbT7UGlakU7IQMSPas3,0.505,0.401,0,-12.549000000000001,1,0.0282,0.31,1.22e-06,0.0514,0.42100000000000004,105.60600000000001,230893,3/4/1968,38,0.1090591549873352,0.8905817866325378,0.0
2cZlwQvxwAFFTNb2xCGDl4,0.33399999999999996,0.966,11,-5.556,0,0.10400000000000001,7.170000000000001e-05,0.0186,0.131,0.4,175.06799999999998,214933,4/21/2003,45,0.0,0.9988843202590942,0.0
35zwqAY2glpqDm9PM5h9el,0.5760000000000001,0.462,11,-13.774000000000001,1,0.0398,0.10400000000000001,0.0,0.134,0.925,144.142,148053,1973,37,0.016642963513731956,0.9831088781356812,0.0
2JPyd83rh6dwZ5E33RU0mz,0.73,0.26899999999999996,5,-12.697000000000001,0,0.049,0.8809999999999999,0.000472,0.113,0.337,130.004,295627,1/1/2006,32,0.953199565410614,0.04651283845305443,0.0
0tXq1ob3ysGZN2oK1abtyp,0.695,0.45399999999999996,9,-7.267,1,0.0788,0.307,4.6e-06,0.0727,0.496,127.986,329413,8/14/2001,50,0.044637374579906464,0.9552692770957947,0.0
6K1gsEtX3eHP2Hlb0ueNAA,0.633,0.495,10,-11.679,1,0.0305,0.00235,8.43e-05,0.0907,0.716,126.243,227867,3/15/1988,27,0.0,0.9970750212669373,0.0
