sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity
6U0XRBhz464lX6HeWevQPI,0.553,0.848,0,-4.576,1,0.031,0.0432,0.000302,0.378,0.489,136.236,238800,1996-10-19,18
3jH9qvTFi0IWdYrCs28Ehh,0.444,0.892,1,-4.274,0,0.0366,0.000284,0.0,0.0525,0.385,138.171,290787,1986,21
1PraqvAnggduSq9zCTOSTF,0.519,0.671,0,-13.8,1,0.035,0.494,0.00256,0.329,0.808,152.171,209373,1974,45
0uc0zqpy99nF71nnT6eW1R,0.85,0.613,9,-10.936,0,0.0812,0.294,0.0906,0.0983,0.938,143.508,293000,1980-01-01,43
1Cwsd5xI8CajJz795oy4XF,0.621,0.901,2,-5.396,1,0.0302,0.17,0.0,0.0875,0.744,113.967,300773,1998-01-01,74
5Ssv6DaKrW0HczVqx6zXdl,0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092,200613,2008-11-14,61
5e5MKPtJuFb8NaeSEyV5gD,0.603,0.401,0,-10.155,0,0.0306,0.542,0.225,0.103,0.347,172.633,377600,2008-11-24,55
5fyRqeycMofUoGmDis5Gu6,0.769,0.836,8,-4.15,1,0.244,0.0618,0.0,0.182,0.651,88.978,237720,1995,55
4d2hD63oUGU3s7L66JD0BE,0.792,0.856,11,-5.236,0,0.067,0.0159,2.88e-06,0.0981,0.714,127.988,237267,2012-07-20,66
5uswrfRMA6MpRICWXEE1Uq,0.631,0.921,9,-3.248,1,0.0447,0.138,0.0,0.105,0.37,108.055,203827,2001-01-01,45
1HNE2PX70ztbEl6MLxrpNL,0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046,207093,2001-01-01,74
2bEOoGCjJJVf60y3aKgXcn,0.624,0.904,4,-4.774,1,0.0479,0.00112,0.0231,0.604,0.649,130.153,216733,2001-04-02,54
3e2EJtyKIXopNCUtaoeMQT,0.611,0.548,2,-13.248,1,0.0384,0.0085,3.01e-06,0.145,0.668,167.165,310733,1988-01-01,24
1wco5cASzUIC5e7cqC60K9,0.609,0.343,2,-9.49,1,0.026,0.354,7.14e-06,0.127,0.416,90.318,205667,2010-09-24,45
58rdbCe3SBJuJeWEJa8Htm,0.647,0.874,9,-5.075,0,0.0337,0.101,1.79e-05,0.277,0.918,89.727,284173,2000-10-01,60
0X3d9gx7UDYgcwwkgTeNLR,0.678,0.611,6,-8.306,1,0.0506,0.777,0.0,0.175,0.821,98.949,209347,1972,57
4c4jJJoaiY21t2TyRZgdWS,0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,271573,1968-10-01,71
2Ms33RTRCT6gArrpcrPxmo,0.599,0.732,5,-6.843,1,0.026,0.0145,0.000467,0.143,0.295,97.997,263867,2002,72
5BnFZLH99sYav2cxJFGO2n,0.45,0.945,3,-3.995,1,0.0806,0.012,0.00687,0.0683,0.294,111.342,268827,1997-02-04,64
0ZFqB9g2FujbmMSrjqsL3j,0.435,0.161,5,-10.84,1,0.0298,0.911,0.000214,0.113,0.291,136.166,167387,1972-08-04,53
27mdmXNcO0gNpXlrWi9DPZ,0.617,0.664,0,-11.701,1,0.0345,0.0985,0.0,0.203,0.931,127.021,171013,1970-08-01,43
2YicqwBT06SnO2U5wJBlBK,0.768,0.547,11,-7.356,1,0.0385,0.58,1.78e-06,0.32,0.688,105.979,285333,1995,41
6WuqJLVZcyJklg7lIozAO8,0.462,0.905,0,-3.825,0,0.0438,0.00066,0.0402,0.0839,0.253,122.925,302360,2004-09-20,54
3lrvK5hat3ChDeeBJWXFsW,0.551,0.371,8,-12.397,1,0.0284,0.376,0.000836,0.07,0.412,120.968,228760,1973,28
0B2ZuTLZnWQ6gz8RlNwBu1,0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,187280,2004-01-01,57
1hcMA8tQegZyf9OumrFtMT,0.781,0.533,4,-11.379,1,0.0312,0.214,5.96e-05,0.154,0.889,130.97,165587,1992-03-10,49
3mewIGrpGHaQ9sIIa31zca,0.417,0.67,4,-8.337,0,0.0672,0.0116,0.0771,0.115,0.541,88.024,67933,1985,34
0dPfKBYyPmoSfoLJqeKAs4,0.648,0.165,4,-16.446,1,0.0348,0.879,0.000216,0.13,0.435,99.585,194160,1996-03-12,46
06pRRMDsx7mdfZQy10it40,0.622,0.725,1,-5.627,1,0.33,0.128,0.0,0.34,0.467,91.398,265787,2004-10-12,53
2kpHaB82qVWd4ccYXGt5BE,0.693,0.933,10,-5.246,1,0.0433,0.00676,0.000183,0.276,0.608,121.976,259213,2007,50
2PpNgmrS9mAyrkRAwn6YPq,0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461,256933,1983,61
0eHUMhIkmOQJAkJhiHVD08,0.337,0.823,4,-9.996,0,0.298,0.371,0.484,0.0872,0.59,172.498,489107,1973-01-01,31
6tpFpiVY3o657S33Nz22pD,0.693,0.197,5,-11.198,1,0.0367,0.78,1.64e-05,0.12,0.489,108.219,136173,1976-01-12,31
7KVuitnHlB3RvCmKEvDihR,0.557,0.512,7,-7.938,1,0.0285,0.3,0.0,0.177,0.391,69.104,222560,1992-02-28,27
0vhCcrN8ULryq1KuEEYlm2,0.725,0.577,3,-6.487,1,0.0336,0.609,0.00112,0.242,0.826,117.691,146373,1969-02-10,47
5iB0AiR3QXH5rf9omWAMiH,0.265,0.946,11,-6.891,0,0.171,3.01e-06,0.00525,0.737,0.394,132.437,227453,1988,16
15CWHmExq00wqaOeQX7uiB,0.696,0.521,0,-9.32,1,0.0339,0.398,0.0,0.339,0.646,93.056,258107,1995,37
7BujMCC8IhoBorzOgBnj88,0.681,0.484,2,-10.84,0,0.0259,0.364,0.022,0.165,0.232,111.08,372480,2002-09-30,47
1lNFq0fRu2Z8jDBX85ySQ0,0.244,0.992,1,-2.823,1,0.213,0.000964,0.000876,0.0994,0.165,87.949,185760,2001-01-01,34
3SXWtn3YbXOuz6s9LN8LeJ,0.654,0.72,8,-7.731,1,0.0395,0.69,0.0,0.2,0.678,99.911,309920,2006-06-22,62
2jjzYGxHwPUEajef0NbOw7,0.293,0.953,3,-4.525,1,0.118,0.00154,0.0,0.353,0.274,114.157,256587,2003-09-23,31
7yQpHgbDPweCZhTD5ZtXES,0.537,0.791,6,-7.051,1,0.145,0.122,3.03e-05,0.205,0.889,142.354,255040,1974,49
7wz2Amu2EVjGYQzqlLwCKg,0.303,0.421,7,-13.148,1,0.0353,0.616,0.0,0.314,0.472,180.833,173960,1995-01-01,41
3UDmHZcBTQp8Iu8droNtUl,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,205293,1973-04-02,67
4Qs8uJL6dhsJJKl2rX8a9F,0.723,0.672,7,-7.875,1,0.0356,0.243,0.00373,0.299,0.958,128.079,240573,1970-08-17,54
0hYeFd1LFWrIFvRmRGBiUR,0.351,0.75,1,-11.01,1,0.0503,0.00215,0.000654,0.0647,0.275,94.392,428893,1990-01-01,43
0oerlffJSzhRVvtDfLcp3N,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,308667,1986-08-16,74
51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,1992-07-14,71
