sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,Playlists
7CIzpZaeeNCtJDi1nqEDXb,0.317,0.804,9,-6.504,0,0.0379,8.08e-05,0.109,0.0995,0.181,164.185,254027,2003,49,0.0,0.9983004927635192,0.0,[40]
5xaoHA9f7cgIDxK2ZizxVY,0.414,0.98,4,-2.61,0,0.0849,0.00674,0.0,0.383,0.285,144.965,272800,2007,34,0.0,0.998996376991272,0.0,[79]
7MRCd5tmZ2iURu4elcBsuH,0.8,0.72,1,-7.838999999999999,0,0.051,0.251,0.0127,0.0866,0.955,105.677,270787,1979,40,0.9516028761863708,0.04822136089205742,0.0,"[121, 122]"
0OIz5ChWgoPUstjgdE4Klb,0.618,0.183,0,-18.419,0,0.0457,0.893,0.0231,0.111,0.456,95.232,192280,2004,42,0.0,0.997696816921234,0.0,[33]
7kF1iPJTj3VFJX9XokQ80F,0.478,0.974,7,-3.866,1,0.102,0.000266,0.0984,0.0738,0.268,141.077,248307,2004,64,0.0,0.9984793066978456,0.0,"[41, 104, 125]"
3UKz0g2J3ZfjQsAVeRTWDn,0.5489999999999999,0.342,5,-12.737,1,0.0305,0.55,0.0,0.138,0.602,110.079,188133,1966,38,0.0,0.9983847141265868,0.0,[157]
43nP7P1cJJ0uXPf10iJHrC,0.383,0.988,9,-5.345,1,0.141,2.94e-06,0.256,0.0645,0.206,118.316,198640,1991,33,0.0,0.9982303380966188,0.0,[85]
10fddGyyeUquZZ2uPTjD7P,0.449,0.682,2,-5.295,0,0.029,0.205,0.0,0.175,0.254,139.924,223533,2005,63,0.4403685927391052,0.5594418048858643,0.0,"[34, 40]"
6I1UXqglOINThfiQuSMfls,0.723,0.534,4,-8.621,0,0.0571,0.0143,1.88e-05,0.185,0.415,91.072,266600,1997,55,0.6138615012168884,0.38601890206336975,0.0,"[36, 162, 164]"
7ANroj1yWw0YEGcLf7HO3Q,0.7170000000000001,0.449,5,-9.688,0,0.0596,0.6809999999999999,0.0,0.0902,0.611,108.802,257427,2004,54,0.8104716539382935,0.18941134214401245,0.0,"[14, 116, 163]"
2gQsUHVFY4tpXc3AFU2mcS,0.723,0.6829999999999999,11,-10.517,0,0.0349,0.207,4.25e-06,0.133,0.693,132.023,263107,1980,54,0.0,0.998423993587494,0.0,[42]
3UsbGR71AjcBYOWoUlfTdm,0.475,0.6759999999999999,2,-9.404,1,0.0577,0.145,0.00744,0.823,0.659,127.196,284480,1971,37,0.3590020537376404,0.640755295753479,0.0,"[41, 125]"
5Gx2EpxEZBPpEiySoHhjRO,0.29100000000000004,0.901,4,-10.343,0,0.119,0.000391,0.797,0.339,0.25,90.727,685893,1983,34,0.0,0.9986096024513244,0.0,[76]
5mNqBvhhYnXLHolxoC06AH,0.308,0.962,7,-3.873,1,0.204,0.0216,0.192,0.123,0.583,173.173,192480,1989,37,0.3841014802455902,0.6156218647956848,0.0,"[44, 78, 80]"
4vZncd47XS2xDp3MVBcoV3,0.238,0.8909999999999999,3,-10.402,1,0.0683,1.43e-06,0.0361,0.292,0.331,182.469,313467,1985,31,0.0,0.9986243247985841,0.0,[83]
4cTKHVuc2qInyxZTo7UP0J,0.429,0.358,5,-11.935,1,0.0324,0.763,6.61e-06,0.0386,0.134,127.691,311160,1979,47,0.7665600180625916,0.23323622345924375,0.0,[47]
4lnQfs7AmQm6dqCaNMDJLr,0.703,0.7609999999999999,10,-10.136,1,0.0552,0.115,4.99e-06,0.103,0.652,104.838,353987,1974,39,0.9951881766319276,0.0,0.0,"[32, 159]"
4U1yw4DNtAZq4oSCGTOJ2s,0.7,0.669,0,-3.4530000000000003,0,0.0336,0.141,0.000212,0.157,0.491,118.325,198693,2008,37,0.1618012934923172,0.8379560708999634,0.0,[42]
2mj1Z5bqu0UfW4o4a7UxpW,0.555,0.5429999999999999,3,-8.874,0,0.0272,0.428,0.0,0.105,0.359,164.021,269027,1996,49,0.2857993543148041,0.7140380740165709,0.0,"[114, 160, 164, 168]"
6zqBP2DYGgaf0TtoPJrL77,0.4970000000000001,0.941,2,-4.765,1,0.0508,1.37e-06,0.568,0.104,0.181,110.001,261360,2009,20,0.0,0.9988844394683838,0.0,[37]
3dKFxCpVtK3g9KAB8S1FwY,0.928,0.385,1,-7.44,0,0.0546,0.29,1.24e-05,0.12,0.7609999999999999,102.007,212813,2005,56,0.1341928094625473,0.8656516075134277,0.0,[152]
3VH9PB4maOkYsS1KKXDBb1,0.398,0.8270000000000001,2,-8.176,1,0.0403,0.0997,0.0258,0.158,0.804,168.74400000000003,222827,1972,35,0.0,0.997200608253479,0.0,[109]
1tqT6DhmsrtQgyCKUwotiw,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,194293,1968,73,0.7220532298088074,0.2777604162693024,0.0,"[35, 123]"
